자치구,자치동,사업장명,경도,위도,리뷰주소
동작구,상도동,헤르젠,126.9411397856442,37.49773146018008,https://place.map.kakao.com/16590608
동작구,상도동,파동추야,126.95016029605938,37.49593680924404,https://place.map.kakao.com/15545421
동작구,흑석동,신전떡볶이(중앙대점),126.9577603691167,37.50779287806857,https://place.map.kakao.com/579479472
동작구,사당동,용차이,126.97789539783206,37.482358357499365,https://place.map.kakao.com/657812332
동작구,상도동,비비엣,126.95543768910075,37.494910460357254,https://place.map.kakao.com/1627931432
동작구,사당동,삼통치킨.사당역점,126.97723516536271,37.4790156127543,https://place.map.kakao.com/190944347
동작구,신대방동,한촌설렁탕보라매점,126.92063378503548,37.49211036173452,https://place.map.kakao.com/12601467
동작구,사당동,오빠닭사당1호점,126.97304577634813,37.48964126781052,https://place.map.kakao.com/908930435
동작구,사당동,윤가네돈돼지,126.97320739726217,37.47677658393314,https://place.map.kakao.com/771128772
동작구,사당동,신사(SINSA),126.9790450094205,37.48831249222481,https://place.map.kakao.com/1190793153
동작구,대방동,BBQ신대방삼거리역점,126.92295308437288,37.49958234094102,https://place.map.kakao.com/86002776
동작구,대방동,맛짱식당,126.9212581467137,37.498769828253465,https://place.map.kakao.com/15547708
동작구,흑석동,영광족발,126.9597226723721,37.50703263023703,https://place.map.kakao.com/15520768
동작구,대방동,처갓집양념치킨 대방점,126.92948516957493,37.508315958928954,https://place.map.kakao.com/18915527
동작구,대방동,부어치킨 피자투어 대방점,126.9292682308202,37.51158560006576,https://place.map.kakao.com/13607273
동작구,대방동,성찬식당,126.91783010906515,37.49840968491345,https://place.map.kakao.com/917679927
동작구,신대방동,양자강,126.91347683966868,37.496745643139846,https://place.map.kakao.com/9243749
동작구,상도동,피자마루,126.94083185427854,37.49811414326118,https://place.map.kakao.com/19746624
동작구,대방동,라무르웨딩하우스,126.9302352809275,37.51270285262673,https://place.map.kakao.com/1135670974
동작구,사당동,토마토김밥,126.9762863040093,37.47853368179538,https://place.map.kakao.com/15685477
동작구,사당동,육태기,126.97794969404983,37.47973604063553,https://place.map.kakao.com/686125131
동작구,흑석동,타누키돈부리 중앙대점,126.95683113907714,37.50740502687132,https://place.map.kakao.com/20530186
동작구,흑석동,하루,126.95757069104937,37.50768443876195,https://place.map.kakao.com/1049783978
동작구,상도동,전주청국장,126.9317594977549,37.50258590494757,https://place.map.kakao.com/16908488
동작구,노량진동,노들나루밥상,126.94254870954263,37.513328029196806,https://place.map.kakao.com/27264788
동작구,상도동,조선화로집 상도역점,126.9449843846337,37.503954766072525,https://place.map.kakao.com/426247031
동작구,노량진동,바다회상,126.94224235633568,37.510928540376945,https://place.map.kakao.com/1292994766
동작구,상도동,약수골,126.9406040661441,37.495948887927526,https://place.map.kakao.com/879893215
동작구,상도동,명갈비,126.94317113937632,37.50535256326874,https://place.map.kakao.com/16934734
동작구,사당동,담쟁이,126.96468069800555,37.486818656847106,https://place.map.kakao.com/1418188549
동작구,사당동,이모네 실내포차,126.97109685700855,37.48292193579437,https://place.map.kakao.com/27240274
동작구,대방동,무한장어,126.92313232950374,37.49957876653795,https://place.map.kakao.com/26594450
동작구,신대방동,장원분식,126.92106191674519,37.49069114671363,https://place.map.kakao.com/16591925
동작구,신대방동,신촌찌개집(신대방삼거리점),126.92534575894321,37.49756380263481,https://place.map.kakao.com/1100220343
동작구,사당동,돼지굴뚝,126.97699403189517,37.485047129539545,https://place.map.kakao.com/16043737
동작구,흑석동,리얼후라이(흑석본점),126.95851917460585,37.50878695561034,https://place.map.kakao.com/23925462
동작구,사당동,조개랑 통골뱅이,126.97801260371888,37.48621521948792,https://place.map.kakao.com/725878632
동작구,흑석동,이탈리안 돈까스,126.95635238732397,37.507682676060654,https://place.map.kakao.com/722136683
동작구,노량진동,불난떡볶이 노량진점,126.93436169291328,37.51245901214357,https://place.map.kakao.com/27268158
동작구,노량진동,주전부리,126.9420498579499,37.51137399893037,https://place.map.kakao.com/13297480
동작구,대방동,꼬르륵,126.92468153205431,37.500358297183006,https://place.map.kakao.com/21879182
동작구,상도동,이레식당,126.93453365026403,37.50135294013214,https://place.map.kakao.com/16821812
동작구,노량진동,양지식당,126.94114145507888,37.51199692875137,https://place.map.kakao.com/16072297
동작구,상도동,동네고깃집,126.92961403530866,37.4996196618593,https://place.map.kakao.com/1925071743
동작구,상도동,채홍,126.94907570051717,37.505138161405085,https://place.map.kakao.com/8102302
동작구,사당동,융선,126.97510912795335,37.47736742712051,https://place.map.kakao.com/727588549
동작구,상도동,상도곱창,126.95064891830013,37.49694253026255,https://place.map.kakao.com/8389347
동작구,흑석동,홍루이젠흑석중앙대점,126.95851917460585,37.50878695561034,https://place.map.kakao.com/697774324
동작구,신대방동,이디야,126.92121483161709,37.49133156505428,https://place.map.kakao.com/18855925
동작구,상도동,치킨매니아,126.95449307280103,37.49466591035138,https://place.map.kakao.com/13100258
동작구,신대방동,부자국밥,126.90477504032987,37.48860014697092,https://place.map.kakao.com/21423638
동작구,대방동,초록애,126.92304022643197,37.511991361047855,https://place.map.kakao.com/13298476
동작구,사당동,육쌈냉면,126.97748750278315,37.48741856664178,https://place.map.kakao.com/17023422
동작구,사당동,토방소곱창,126.9780909287858,37.47982387868204,https://place.map.kakao.com/1829599839
동작구,신대방동,돈까스참잘하는집,126.92047761812029,37.4914350585341,https://place.map.kakao.com/20197177
동작구,상도동,바른탕수육,126.94421962851135,37.50304490932092,https://place.map.kakao.com/1892379405
동작구,노량진동,뚝스토리,126.93516897197006,37.512872850707616,https://place.map.kakao.com/27423296
동작구,노량진동,정동진,126.94146980495455,37.51102887307546,https://place.map.kakao.com/12388832
동작구,흑석동,곤지암할매소머리국밥,126.95980394667961,37.50641940325852,https://place.map.kakao.com/1582983666
동작구,흑석동,그리고 스튜디오흑석커피,126.9602329733898,37.50755713441653,https://place.map.kakao.com/1305480415
동작구,상도동,신룽푸마라탕 숭실대점,126.95382803511745,37.49514323955807,https://place.map.kakao.com/1404781395
동작구,노량진동,중식당 라이라이,126.93877654879083,37.51281705259498,https://place.map.kakao.com/36540650
동작구,흑석동,박군하누,126.9588522373276,37.50855568957627,https://place.map.kakao.com/1699266211
동작구,사당동,명인치킨,126.96916290112627,37.483095995778505,https://place.map.kakao.com/318509006
동작구,상도동,파스타앤볶음밥,126.9490690020402,37.498911977461574,https://place.map.kakao.com/1969197047
동작구,상도동,걸작떡볶이치킨 상도점,126.94763147583812,37.5003617735728,https://place.map.kakao.com/1044887713
동작구,사당동,치킨리그 이수점,126.96797298503778,37.48991274965992,https://place.map.kakao.com/293613226
동작구,상도동,해피트리,126.93717986796483,37.50313362008635,https://place.map.kakao.com/16093153
동작구,신대방동,한제소곱창전골 신대방삼거리역점,126.92458416114324,37.49905990015003,https://place.map.kakao.com/1156910207
동작구,흑석동,반할,126.96090572722527,37.50716599475635,https://place.map.kakao.com/755656224
동작구,상도동,발리호프,126.93585592106025,37.50437842119032,https://place.map.kakao.com/1992819319
동작구,노량진동,오군분식,126.93394733059556,37.51462029079033,https://place.map.kakao.com/1570405531
동작구,노량진동,로지노돈부리,126.93279134454451,37.51207325293908,https://place.map.kakao.com/1517026950
동작구,신대방동,동해해물찜,126.92121483161709,37.49133156505428,https://place.map.kakao.com/353632296
동작구,흑석동,1994 ANNA,126.95866628700881,37.50701497964146,https://place.map.kakao.com/479909506
동작구,흑석동,흑석호치민,126.95934070486473,37.50888034773267,https://place.map.kakao.com/736764569
동작구,노량진동,다온,126.9448014444909,37.50819670211553,https://place.map.kakao.com/969098044
동작구,신대방동,콘서트,126.9045465900458,37.48947382589135,https://place.map.kakao.com/16087072
동작구,신대방동,배영만당진아구찜탕,126.9045465900458,37.48947382589135,https://place.map.kakao.com/1825054680
동작구,사당동,백호양대창 이수점,126.97767314861694,37.48585754400799,https://place.map.kakao.com/1773867154
동작구,사당동,만족하오,126.97665203275726,37.48650415909612,https://place.map.kakao.com/1163486008
동작구,사당동,굽네치킨 사당1동점,126.97526829056716,37.478193232910726,https://place.map.kakao.com/12591828
동작구,상도동,룡빈관,126.93011502732683,37.500471495699635,https://place.map.kakao.com/1996952200
동작구,노량진동,카도,126.94154893757862,37.51211207341075,https://place.map.kakao.com/22017714
동작구,노량진동,밋투데이(MEAT TODAY),126.93762817681534,37.510435185344555,https://place.map.kakao.com/1774665316
동작구,상도동,천냥노가리,126.94880246381086,37.50016883272285,https://place.map.kakao.com/1295385026
동작구,사당동,참치마니아,126.97797446143352,37.479998194085134,https://place.map.kakao.com/1259854739
동작구,노량진동,오징어야,126.94202114964637,37.5116428880962,https://place.map.kakao.com/16090261
동작구,사당동,화끈불끈,126.97481061953022,37.477645034443455,https://place.map.kakao.com/22455030
동작구,사당동,무안수산,126.97630023951878,37.47816710103531,https://place.map.kakao.com/16763313
동작구,신대방동,강촌민물매운탕2호점,126.92136864564513,37.492002695703576,https://place.map.kakao.com/1928206351
동작구,신대방동,더에스비웨딩컨벤션,126.92136864564513,37.492002695703576,https://place.map.kakao.com/27224430
동작구,사당동,이가면옥,126.97788089709637,37.48165677786536,https://place.map.kakao.com/16706132
동작구,사당동,이수짜장,126.97826551515207,37.48837689135598,https://place.map.kakao.com/1802868094
동작구,사당동,밀양손만두,126.97347066025824,37.483761815886986,https://place.map.kakao.com/1341769400
동작구,노량진동,더참맛수육국밥&보쌈노량진점,126.9401876099706,37.512497794249306,https://place.map.kakao.com/1470034160
동작구,상도동,취향,126.95227160491972,37.49535263418605,https://place.map.kakao.com/2088945904
동작구,노량진동,중국관,126.94262853594036,37.50950597574839,https://place.map.kakao.com/714607763
동작구,상도동,콩심신대방점,126.92679664333636,37.49883032220031,https://place.map.kakao.com/1864436831
동작구,대방동,호치킨 해군회관 사거리점,126.91918001797634,37.50370035829486,https://place.map.kakao.com/257439072
동작구,상도동,BHC숭실대점,126.95456416918756,37.494952594335025,https://place.map.kakao.com/1513026476
동작구,흑석동,준호가만드는부대찌개,126.95601322441932,37.50742251763499,https://place.map.kakao.com/701940417
동작구,상도동,우니꾸,126.92600944531013,37.49878111479411,https://place.map.kakao.com/439049297
동작구,사당동,스시사구,126.9755645250214,37.4844533996134,https://place.map.kakao.com/339500687
동작구,사당동,덤덤피자,126.97284934424246,37.4811729883426,https://place.map.kakao.com/300219207
동작구,대방동,처갓집양념치킨 신대방점,126.9214424785391,37.49865455050605,https://place.map.kakao.com/711901707
동작구,흑석동,베이커즈원,126.96498364333489,37.50686126901233,https://place.map.kakao.com/1874208405
동작구,사당동,제이콥참치,126.97792717388066,37.47846154188586,https://place.map.kakao.com/514844111
동작구,상도동,다락,126.94670592520679,37.501543015364696,https://place.map.kakao.com/289980067
동작구,사당동,맛터 서연 만두랑 부대찌개,126.96977557369438,37.481775227836735,https://place.map.kakao.com/1871728706
동작구,상도동,굳세어라 청춘아,126.9466455545748,37.5039010755756,https://place.map.kakao.com/1497765322
동작구,신대방동,신대방닭갈비구이,126.90890061399035,37.487786906842985,https://place.map.kakao.com/832840994
동작구,노량진동,주식회사 봉추찜닭 노량진,126.94078068670916,37.51266962100436,https://place.map.kakao.com/23066809
동작구,상도동,후다닥 숯불 닭갈비,126.92679664333636,37.49883032220031,https://place.map.kakao.com/27404062
동작구,노량진동,자금성,126.94254424574052,37.51129093357956,https://place.map.kakao.com/16590467
동작구,사당동,뉴욕야시장,126.97815113152701,37.4869420108741,https://place.map.kakao.com/529670042
동작구,사당동,교촌치킨사당1호점,126.97452482966177,37.484191983346165,https://place.map.kakao.com/21721217
동작구,신대방동,본가참숯갈비,126.90161287842305,37.48602875300505,https://place.map.kakao.com/841911375
동작구,노량진동,소보정,126.93913579271435,37.512864310349144,https://place.map.kakao.com/23557715
동작구,사당동,농부쌈밥,126.97821240150877,37.48404306306027,https://place.map.kakao.com/17215280
동작구,노량진동,토담,126.94224235633568,37.510928540376945,https://place.map.kakao.com/21932938
동작구,신대방동,미림,126.90409983180705,37.48865953008012,https://place.map.kakao.com/27016983
동작구,상도동,장수족발,126.93295076982771,37.49788394697593,https://place.map.kakao.com/1706664709
동작구,노량진동,아마스빈,126.94157094109597,37.51329938146553,https://place.map.kakao.com/21545271
동작구,사당동,진 수산,126.96975557294788,37.483101958199434,https://place.map.kakao.com/1343868458
동작구,노량진동,청진다래,126.94171172404675,37.51184628503751,https://place.map.kakao.com/21134248
동작구,사당동,맛찬들왕소금구이,126.97837319633986,37.48772584709443,https://place.map.kakao.com/357179293
동작구,신대방동,치킨89,126.92560075181318,37.497931105938974,https://place.map.kakao.com/27379683
동작구,대방동,장골연탄불소금구이,126.93025996689089,37.511898684203814,https://place.map.kakao.com/16555435
동작구,노량진동,치킨더홈,126.94224235633568,37.510928540376945,https://place.map.kakao.com/411144231
동작구,상도동,굽네치킨,126.95002220478706,37.498382079152655,https://place.map.kakao.com/790161113
동작구,사당동,리얼 양꼬치,126.97775131731524,37.48769860122161,https://place.map.kakao.com/27283348
동작구,노량진동,커피 팩토리 쏘,126.93258138571458,37.51256737006459,https://place.map.kakao.com/27200173
동작구,사당동,국수가...,126.96958863987226,37.483163235096455,https://place.map.kakao.com/16880313
동작구,사당동,파니모들,126.97932668104387,37.49023065368291,https://place.map.kakao.com/604924026
동작구,사당동,예상,126.97744359583609,37.4791643634644,https://place.map.kakao.com/382978799
동작구,상도동,고우마구로,126.9440191052541,37.50294775322184,https://place.map.kakao.com/404981945
동작구,상도동,유프,126.95085791161593,37.5051416610421,https://place.map.kakao.com/1860526565
동작구,흑석동,그리지카페,126.96226982618519,37.50742101612898,https://place.map.kakao.com/1445110490
동작구,흑석동,끼리,126.96158156502737,37.50683689958962,https://place.map.kakao.com/1118004707
동작구,신대방동,술의온도,126.9253972094559,37.49788064371536,https://place.map.kakao.com/2008436356
동작구,흑석동,흑석드럼통소금구이,126.9591760138007,37.50873671471629,https://place.map.kakao.com/27280183
동작구,사당동,사당돈,126.97790021065693,37.477688026081864,https://place.map.kakao.com/1763359877
동작구,사당동,소문난 집,126.978655728599,37.48815989807695,https://place.map.kakao.com/13596302
동작구,상도동,마루스시,126.95060269402377,37.49749350829188,https://place.map.kakao.com/18583159
동작구,노량진동,목우촌생고기,126.94223334908956,37.50742542987445,https://place.map.kakao.com/8307631
동작구,사당동,남해안,126.97790608691271,37.47778223252158,https://place.map.kakao.com/16082349
동작구,상도동,광양불고기(준서네),126.94984129426304,37.496264465954916,https://place.map.kakao.com/21243360
동작구,노량진동,제임스닥,126.94292047781892,37.509595499558685,https://place.map.kakao.com/1741553866
동작구,노량진동,소라네밥집,126.94093856819761,37.51238993008903,https://place.map.kakao.com/138355653
동작구,흑석동,유정쌈밥,126.95917246532565,37.507945593559995,https://place.map.kakao.com/8035429
동작구,상도동,탕마루김치찌개(장승배기역점),126.93558088456632,37.50384468571781,https://place.map.kakao.com/27404223
동작구,대방동,옛골식당,126.92950733299698,37.50851438500013,https://place.map.kakao.com/1505845153
동작구,흑석동,준호가 만드는 즉석 떡볶이,126.95591585052044,37.507244666320545,https://place.map.kakao.com/27245555
동작구,흑석동,재팔이네닭발,126.96187273492053,37.50741366904936,https://place.map.kakao.com/832603565
동작구,상도동,은화수식당,126.95424688754339,37.495080168609235,https://place.map.kakao.com/277267712
동작구,사당동,생활맥주 이수점,126.977324695231,37.485624071459796,https://place.map.kakao.com/521170679
동작구,상도동,형제식당,126.94273284548956,37.50432604662049,https://place.map.kakao.com/16536602
동작구,노량진동,훌랄라치킨,126.93403335349907,37.512719196847655,https://place.map.kakao.com/11784704
동작구,사당동,맛있는 소풍,126.96935288454671,37.483730145435494,https://place.map.kakao.com/16935494
동작구,흑석동,안(Ann),126.9565111359674,37.50704951190601,https://place.map.kakao.com/18838721
동작구,사당동,본죽(남성역점),126.96947966413734,37.48463367093651,https://place.map.kakao.com/8367109
동작구,상도동,이모네 참족발보쌈,126.95149307884553,37.49495991523621,https://place.map.kakao.com/14551664
동작구,노량진동,하노이별,126.9351509279783,37.5130714369965,https://place.map.kakao.com/14492988
동작구,사당동,지금보고싶다,126.977961748268,37.48651332252823,https://place.map.kakao.com/1734875362
동작구,사당동,고향식당,126.97542316061642,37.477663873838566,https://place.map.kakao.com/16045513
동작구,사당동,바른황소곱창,126.978503271454,37.480095180022474,https://place.map.kakao.com/27299807
